REFERENTIEL DES METADONNEES DU SAE																											
Code Metadonnees	Libellé	Description	Format	Spécifiable lors de l'archivage	Obligatoire à l'archivage	Consultée par défaut	Consultable	Critère de recherche	Indexée	Formatage	Taille maximum autorisée en archivage	Exemple de valeur	Liste de valeurs fermée	Nom du dictionnaire	Annuaire	Diffusable clients	Enrichissement par le SAE	Détails de l'enrichissement	"Code interne
(couche services + stockage Cassandra)"	Métadonnée gérée directement par DFCE	"Accès via l'API DFCE
(couche storage)"	Type DFCE	Multi-valuée	Obligatoire au stockage	Date dernière MAJ	"Modifiable
par le client"	RG modif
Titre	Titre du document 	Titre du document	Alphanumérique	oui	oui	oui	oui	oui	non		100	Attestation de vigilance				oui	NON		SM_TITLE	oui	"document.setTitle
document.getTitle"	String	non	oui		oui	
Periode	Période	Correspond à la période V2	Alphanumérique	oui	non	non	oui	oui	non		4					oui	NON		per	non		String	non	non		oui	
Siren	Siren	Numéro de SIREN V2	Numérique	oui	non	non	oui	oui	oui		10	123456789				oui	NON		srn	non		String	non	non		oui	
NniEmployeur	NNI employeur	Numéro National d'Identification ou Numéro de sécurité sociale de l'Employeur	Numérique	oui	non	non	oui	oui	oui		15	148032541101648				oui	NON		nne	non		String	non	non		oui	
NumeroPersonne	Numéro de personne	Numéro de personne (V2)	Numérique	oui	non	non	oui	oui	oui		7	123854				oui	NON		npe	non		String	non	non		oui	
Denomination	Dénomination du compte	Dénomination du compte (provient de la raison sociale V2)	Alphanumérique	oui	non	non	oui	oui	oui			COUTURIER GINETTE 				oui	NON		den	non		String	non	non		oui	
CodeCategorieV2	Code catégorie V2	Code catégorie V2	Numérique	oui	non	non	oui	non	non		1	4				oui	NON		cv2	non		String	non	non		oui	
CodeSousCategorieV2	Code sous catégorie V2	Code sous catégorie V2	Numérique	oui	non	non	oui	non	non		2	11				oui	NON		scv	non		String	non	non		oui	
NumeroCompteInterne	Numéro de compte interne	Numéro de compte interne V2	Numérique	oui	non	non	oui	oui	oui		7	719900				oui	NON		nci	non		String	non	non		oui	
NumeroCompteExterne	Numéro de compte externe	Numéro de compte externe V2	Numérique	oui	non	non	oui	oui	oui		18	30148032541101600				oui	NON		nce	non		String	non	non		oui	
Siret	Numéro de siret	Numéro de Siret V2	Numérique	oui	non	non	oui	oui	oui		14	12345678912345				oui	NON		srt	non		String	non	non		oui	
PseudoSiret	Numéro de pseudosiret	Numéro de Pseudo Siret V2	Alphanumérique	oui	non	non	oui	oui	oui		14	4914736610005				oui	NON		psi	non		String	non	non		oui	
NumeroStructure	Numéro de structure	Numéro de structure V2	Numérique	oui	non	non	oui	oui	non		10	000050221				oui	NON		nst	non		String	non	non		oui	
NumeroRecours	Numéro de recours	Numéro de recours	Alphanumérique	oui	non	non	oui	oui	oui		15	20080798				oui	NON		nre	non		String	non	non		oui	
NumeroIntControle	Numéro interne contrôle	Numéro interne contrôle	Numérique	oui	non	non	oui	oui	oui		6	57377				oui	NON		nic	non		String	non	non		oui	
DateCreation	Date création	Date de création du document au niveau de l'application émettrice	Date	oui	oui	oui	oui	oui	oui	yyyy-mm-dd	10	2012-01-01				oui	NON		SM_CREATION_DATE	oui	"document.setCreationDate
document.getDateCreation"	Date	non	oui		oui	
DateReception	Date réception	Date à laquelle le document a été reçu pour un courrier par exemple	Date	oui	non	oui	oui	oui	non	yyyy-mm-dd	10	2012-01-01				oui	NON		dre	non		Date	non	non		oui	
ApplicationProductrice	Application Productrice du document	Code de l'application qui a produit le document (pour un document WATT issu du scan, ce sera la chaine d'acquisition)	Alphanumérique	oui	oui	non	oui	oui	non		15	ADELAIDE	oui			oui	NON		apr	non		String	non	oui	12/04/2013	non	
ApplicationTraitement	Application traitant le document	Code de la dernière application qui a fait des traitements sur le document avant archivage c'est-à-dire celle qui a versé le document	Alphanumérique	oui	non	non	oui	oui	non		15	ATTESTATIONS	oui			oui	NON		atr	non		String	non	non	12/04/2013	non	
CodeOrganismeProprietaire	Code organisme propriétaire	Code organisme propriétaire du document Cf. Liste des organismes	Alphanumérique	oui	oui	oui	oui	oui	non		5	UR750	oui			oui	NON		cop	non		String	non	oui	25/04/2013	oui	
CodeOrganismeGestionnaire	Code organisme gestionnaire	Code organisme gestionnaire de la pièce Cf. Liste des organismes	Alphanumérique	oui	oui	oui	oui	oui	non		5	UR750	oui			oui	NON		cog	non		String	non	oui	12/04/2013	oui	
SiteAcquisition	Site acquisition	Code site du lieu d'acquisition dans le cas d'une numérisation Cf. Liste des organismes	Alphanumérique	oui	non	non	oui	oui	non		5	CER69				oui	NON		sac	non		String	non	non		oui	
CodeRND	Code référentiel nationale de document	Code issu d'un référentiel permettant de typer nationalement un document	Alphanumérique	oui	oui	oui	oui	oui	non		14	2.3.1.1.12	oui			oui	NON	Métadonnée technique liée à la durée de conservation	SM_DOCUMENT_TYPE	oui	"document.setType
document.getType"	String	non	oui	25/04/2013	oui	"recalcul de la date de fin de conservation : DateDebutConservation + DureeConservation,
et mise à jour des métadonnées CodeFonction et CodeActivite"
VersionRND	Version de Code RND	Numéro permettant d'identifier la version de provenance du code RND renseigné précédemment	Alphanumérique	non	non	non	oui	non	non		10	11.1				non	Oui	Si la métadonnée n'est pas fournie par l'application cliente, le SAE ajoute cette métadonnée avec comme valeur la version en cours du RND (disponible au niveau applicatif SAE dans fichier XML enrichissement Rnd)	vrn	non		String	non	oui	21/02/2013	non	
CodeFonction	Code fonction RFP	Code de la fonction/domaine RFP	Numérique	non	non	non	oui	oui	non		2	2	oui			oui	Oui	Code fonction du Code RND	dom	non		String	non	non	26/04/2013	non	
CodeActivite	Code Activité RFP	Code de l'activité RFP	Numérique	non	non	non	oui	oui	non		2	3	oui			oui	Oui	Code activité du Code RND	act	non		String	non	non	12/04/2013	non	
DureeConservation	Durée de conservation	Durée de conservation de l'archive au terme duquel l'archive n'est plus accessible en jours	Numérique	non	non	non	oui	non	non			1825				oui	Non	Durée de conservation associée au Code RND et géré côté DFCE (Il faudra initié le référentiel DFCE sur le cycle de vie)	dco	oui	serviceProvider.getStorageAdministrationService().getLifeCycleRule(documentType)	Integer	non	non		non	
DateDebutConservation	Date début conservation	Date de début de la durée de conservation.	Date	oui	non	non	oui	oui	oui	yyyy-mm-dd	10	2012-01-01				oui	Oui	Si la métadonnée n'est pas fournie par l'application cliente, le SAE l'ajoute avec comme valeur celle de la métadonnée  DateArchivage - Peut-être que DFCE le fait déjà par défaut	SM_LIFE_CYCLE_REFERENCE_DATE	oui	"document.setLifeCycleReferenceDate
document.getLifeCycleReferenceDate"	Date	non	oui		non	
DateFinConservation	Date fin conservation	Date de fin de la durée de conservation	Date	non	non	non	oui	oui	non	yyyy-mm-dd	10	2017-01-01				oui	Oui	Géré par DFCE	dfc	non		Date	non	oui		non	
Gel	Gel	Gel de l'archive permettant de ne pas détruire l'archive 	Booléen	non	non	non	oui	non	non	true|false		false	oui			non	Oui	Aucune action à réaliser, le Gel est à false par défaut dans DFCE lors d'un stockage	gel	oui	"StoreService.isFrozen(document)
StoreService.freezeDocument(document)
StoreService.unfreezeDocument(document)"	Boolean	non	non	25/04/2013	non	
TracabilitePreArchivage	Traçabilité pré archivage	Traçabilité en amont du SAE, surtout utilisée dans le cas de la chaine d'acquisition	Alphanumérique	oui	non	non	oui	non	non			"<?xml version=""1.0"" encoding=""iso-8859-1""?>
<fichiers><fichier id_archivage=""UR030012011215000209"" duplications=""2"" nom=""Inconnu"" modification_manuelle=""aucune""><operations><operation date=""05/08/2011"" heure=""08:25"" programme=""CIME_SCHEDULER - Agent AED"" "				non	NON		tpa	non		String	non	non	02/05/2013	non	
TracabilitePostArchivage	Tracabilite post archivage	Traçabilité contenue dans le système d'archive, lié à la vie de l'archive	Alphanumérique	non	non	non	oui	non	non							non	NON		toa	oui		String	non	non		non	
Hash	Hash du fichier	Hash du fichier	Alphanumérique	oui	oui	oui	oui	non	non			7c9b35da4f2ebd436f1cf88e5a39b3a257edf4a22be3c955ac49da2e2107b67a1924419563				oui	NON		SM_DIGEST	oui	document.getDigest	String	non	oui		non	
TypeHash	Type de hash utilisé	Identifiant de l'algorithme de hachage utilisé pour calculer le Hash du fichier	Alphanumérique	oui	oui	non	oui	non	non		15	SHA-1	oui			oui	NON		SM_DIGEST_ALGORITHM	oui	document.getDigestAlgorithm	String	non	oui	12/04/2013	non	
NbPages	Nombre de pages	Nombre de pages du document	Numérique	oui	oui	non	oui	non	non			2				oui	NON		nbp	non		Integer	non	oui		non	
NomFichier	Nom du fichier	Nom du fichier physique avec extension lié au document	Alphanumérique	non	non	oui	oui	non	non		30	attestation.pdf				oui	Oui	"A la capture, NomFichier est déterminé automatiquement à partir du nom du fichier physique. Le nom physique est splitté en ""nom de fichier sans extension"" + ""extension"", et ces deux informations sont transmises à l'API de stockage

A la consultation/recherche, NomFichier est construit par concaténation des propriétés DFCE getFilename et getExtension"	nfi	oui	"document.getFilename() + ""."" + document.getExtension()"	String	non	non		non	
FormatFichier	Format de fichier	Identifiant PRONOM (Cf. Référentiel PRONOM)	Alphanumérique	oui	oui	oui	oui	non	non		15	fmt/354	oui			oui	NON		ffi	non		String	non	oui	12/04/2013	non	
