REFERENTIEL DES METADONNEES DU SAE																														
Code Metadonnees	Libellé	Description	Format	Spécifiable lors de l'archivage	Obligatoire à l'archivage	Consultée par défaut	Consultable	Critère de recherche	Indexée	Formatage	Taille maximum autorisée en archivage	Exemple de valeur	Liste de valeurs fermée	Nom du dictionnaire	Annuaire	Diffusable clients	Enrichissement par le SAE	Détails de l'enrichissement	Code interne	Métadonnée gérée directement par DFCE	Acc�s via l'API DFCE	Type DFCE	Multi-valuée	Obligatoire au stockage	Date dernière MAJ	Modifiable	RG modif	Trim gauche	Trim droite	
Titre	Titre du document 	Titre du document	Alphanumérique	oui	oui	oui	oui	oui	non		100					oui	NON		SM_TITLE	oui		String	non	oui		oui		oui	oui	
Periode	Période	Correspond à la période V2	Alphanumérique	oui	non	non	oui	oui	non		4					oui	NON		per	non		String	non	non		oui		oui	oui	
Siren	Siren	Numéro de SIREN V2	Numérique	oui	non	non	oui	oui	oui		10					oui	NON		srn	non		String	non	non		oui		oui	oui	
NniEmployeur	NNI employeur	Numéro National d'Identification ou Numéro de sécurité sociale de l'Employeur	Numérique	oui	non	non	oui	oui	oui		15					oui	NON		nne	non		String	non	non		oui		oui	oui	
NumeroPersonne	Numéro de personne	Numéro de personne (V2)	Numérique	oui	non	non	oui	oui	oui		7					oui	NON		npe	non		String	non	non		oui		oui	oui	
Denomination	Dénomination du compte	Dénomination du compte (provient de la raison sociale V2)	Alphanumérique	oui	non	non	oui	oui	oui							oui	NON		den	non		String	non	non		oui		oui	oui	
CodeCategorieV2	Code catégorie V2	Code catégorie V2	Numérique	oui	non	non	oui	non	non		1					oui	NON		cv2	non		String	non	non		oui		oui	oui	
CodeSousCategorieV2	Code sous catégorie V2	Code sous catégorie V2	Numérique	oui	non	non	oui	non	non		2					oui	NON		scv	non		String	non	non		oui		oui	oui	
NumeroCompteInterne	Numéro de compte interne	Numéro de compte interne V2	Numérique	oui	non	non	oui	oui	oui		7					oui	NON		nci	non		String	non	non		oui		oui	oui	
NumeroCompteExterne	Numéro de compte externe	Numéro de compte externe V2	Numérique	oui	non	non	oui	oui	oui		18					oui	NON		nce	non		String	non	non		oui		oui	oui	
